"","Study_ID","First_author","Year_published","ES_ID","Common_species","Strain","Strain_notes","Sex","Housing","Notes_housing","Age_EE_exposure","Notes_age_EE_exposure","Age_stress_exposure","Notes_age_stress_exposure","Age_assay","Notes_age_assay","Type_EE_exposure","Type_EE_details","EE_exercise","EE_social","Type_stress_exposure","Type_stress_details","Stress_duration","Notes_stress_duration","Exposure_order","Learning_vs_memory","Type_assay","Type_reinforcement","Response_assay_name","Response_details","Response_unit","Response_percent","Response_notes","Response_direction","Data_location","CC_n","CC_mean","CC_median","CC_SD","CC_SE","CC_25thpercentile","CC_75thpercentile","EC_n","EC_mean","EC_median","EC_SD","EC_SE","EC_25thpercentile","EC_75thpercentile","CS_n","CS_mean","CS_median","CS_SD","CS_SE","CS_25thpercentile","CS_7thpercentile","ES_n","ES_mean","ES_median","ES_SD","ES_SE","ES_25thpercentile","ES_75thoercentile","Original_names","ROB_blinding","Blinding_notes","ROB_randomisation","Randomisation_notes","Contact_author","Date_contacted","Author_response","General_comments","Stats_comments","lnRR_E","lnRRV_E","lnRR_S","lnRRV_S","lnRR_ES","lnRRV_ES","SMD_E","SMDV_E","SMD_S","SMDV_S","SMD_ES","SMDV_ES","lnRR_E2","lnRRV_E2","lnRR_S2","lnRRV_S2","lnRR_ES2","lnRRV_ES2","lnRR_E3","lnRRV_E3","lnRR_S3","lnRRV_S3","lnRR_Ea","lnRR_Sa","lnRR_ESa","lnRR_E2a","lnRR_S2a","lnRR_ES2a","lnRR_E3a","lnRR_S3a","SMD_Ea","SMD_Sa","SMD_ESa"
"1",1,"Aghighi Bidgoli",2020,2,"Rat","Wistar",NA,"Male",3,"After isolation, animals were kept in group of 6","Adolescent","P21","Prenatal",NA,"Adolescent","P51 - P55","Objects","pipes, ladders etc","No exercise","Non-social","Noise","prenatal noise stress","Intermittent",NA,"Stress first","Learning","Conditioning","Aversive","Morris water maze","Distance travelled to locate platform","cm","no","Taken from day 3 of learning",2,"Fig. 3 e,f, (did not take data from the injected individuals (-S, -B)",10,191.8,NA,69.98,"22.13",NA,NA,10,272.95,NA,104.99,"33.2",NA,NA,10,367.24,NA,196.31,"62.08",NA,NA,10,232.76,NA,81.78,"25.86",NA,NA,"CC = C-SH-S, EC = C-EE-S, CS = S-SH-S, ES = S-EE-S",3,NA,3,"only states that pre-natal stress was random","Contacted authors re density of EE vs SH cages",NA,"EE and SH were equal densities of 6 indivs per cage",NA,NA,-0.100257644485365,0.020823268388585,0.255430028614593,0.020823268388585,-0.808843171265459,0.0690272517704599,-0.215669472625209,0.332566607112178,0.546958488140999,0.332566607112178,-1.74403931678881,0.40058141651778,0.352835465778429,0.028107726600607,0.649562422826161,0.0418871368010772,0.193554717339131,0.0256568396730867,-0.45600770548703,0.040919525169853,-0.159280748439298,0.0271401149693827,0.100257644485365,-0.255430028614593,0.808843171265459,-0.352835465778429,-0.649562422826161,-0.193554717339131,0.45600770548703,0.159280748439298,0.215669472625209,-0.546958488140999,1.74403931678881
"2",15,"Cordier",2021,45,"Rat","Wistar",NA,"Male",3,"mixed sex for stress, single sex for EE","Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","toys, wheel, climbing, novelty","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Barnes maze","distance travelled","cm","no",NA,2,"Fig. 2f",7,415.29,412.94,188.24,NA,289.41,543.53,7,256.47,261.18,99.35,NA,187.06,321.18,7,448.23,455.29,167.33,NA,331.76,557.65,7,387.06,377.65,486.86,"177.78",271.76,511.76,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,NA,1,NA,NA,NA,NA,"mean and sd calculated from median and IQR (Wan et al 2014)",NA,-0.294048412874211,0.0973236390767855,0.217877836068213,0.0973236390767855,0.335238598902604,0.29672042885333,-0.394899300856365,0.688666245216103,0.293549173458072,0.688666245216103,0.350578814751798,0.574213311746729,-0.481965372661501,0.0507880230688827,0.076329422163349,0.0492599176743179,-0.0703973515955481,0.255374479820562,-0.146726773758897,0.245932405784447,0.411568021065953,0.247460511179012,0.294048412874211,-0.217877836068213,-0.335238598902604,0.481965372661501,-0.076329422163349,0.0703973515955481,0.146726773758897,-0.411568021065953,0.394899300856365,-0.293549173458072,-0.350578814751798
"3",10,"Molina",2016,27,"Rat","Wistar",NA,"Male",3,NA,"Early postnatal",NA,"Early postnatal",NA,"Adolescent","PND28","Combination","Objects, wheel, food, size","Exercise","Non-social","Noise",NA,"Acute",NA,"Concurrently","Learning","Habituation","Not applicable","Open field habituation","Number of lines corssed","count","no","PND7 - Took difference between white and black bars. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation",1,"Fig. 2",6,84.69,NA,25.96057,"7.12, 12.18",NA,NA,6,60.35,NA,24.42977,"9.12, 10.65",NA,NA,6,54.76,NA,8.676485,"1.53, 4.05",NA,NA,6,43.61,NA,23.00663,"3.55, 10.65",NA,NA,"CC = ct7d, EC = ctEE7d, CS = Noise7d, ES = NoiseEE7d",3,NA,1,NA,NA,NA,NA,"Need to double check response direction",NA,-0.293699904300208,0.023787403033893,-0.388273686921929,0.023787403033893,0.111163064824395,0.0935411806281308,-0.819529678121196,2.18155334663096,-1.07769653643044,2.18155334663096,0.609162944740411,0.68065893527753,-0.338836583389967,0.0429714714030326,-0.43603753051326,0.0198449353403044,-0.663711049078832,0.062046300904423,-0.227673518565572,0.0505697092250982,-0.324874465688865,0.0736962452878264,-0.293699904300208,-0.388273686921929,0.111163064824395,-0.338836583389967,-0.43603753051326,-0.663711049078832,-0.227673518565572,-0.324874465688865,-0.819529678121196,-1.07769653643044,0.609162944740411
"4",10,"Molina",2016,28,"Rat","Wistar",NA,"Male",3,NA,"Early postnatal",NA,"Early postnatal",NA,"Adolescent","PND28","Combination","Objects, wheel, food, size","Exercise","Non-social","Noise",NA,"Acute",NA,"Concurrently","Learning","Habituation","Not applicable","Open field habituation","Number of lines corssed","count","no","PND15 -  Took difference between white and black bars. SD calculated as SD^2[1] + SD^2[2] - 2*0.5SD[1]SD[2] where 0.5 = correlation",1,"Fig. 2",6,53.25,NA,35.20955,"16.22, 11.16",NA,NA,6,75.05,NA,49.62575,"21.8, 3.55",NA,NA,6,23.83,NA,18.79841,"6.09, 8.62",NA,NA,6,45.13,NA,20.88588,"9.63, 3.04",NA,NA,"CC = ct15d, EC = ctEE15d, CS = Noise15d, ES = NoiseEE15d",3,NA,1,NA,NA,NA,NA,"Need to double check response direction",NA,0.444146775359616,0.0781416470888131,-0.620844645266153,0.0781416470888131,0.295445169238322,0.28515072339196,0.643066755435016,1.40727122250382,-0.885373115255542,1.40727122250382,-0.0149203423534804,0.675281976082202,0.343156753489937,0.145739070314425,-0.804052513478884,0.176582247547311,-0.165450590750625,0.108563266237168,0.638601922728259,0.139411653077535,-0.508607344240561,0.108568475844649,0.444146775359616,-0.620844645266153,0.295445169238322,0.343156753489937,-0.804052513478884,-0.165450590750625,0.638601922728259,-0.508607344240561,0.643066755435016,-0.885373115255542,-0.0149203423534804
"5",15,"Cordier",2021,42,"Rat","Wistar",NA,"Male",3,"mixed sex for stress, single sex for EE","Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","toys, wheel, climbing, novelty","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Learning","Conditioning","Aversive","Barnes maze","number of errors","count","no","trial 3",2,"Fig. 1b",7,9.46,9.11,3.28,NA,7.42,11.85,7,5.82,5.6,2.41,NA,4.3,7.55,7,14.41,15.1,9.26,NA,7.81,20.31,7,5.43,5.08,8.97,"3.27",3.39,7.81,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,NA,1,NA,NA,NA,NA,"mean and sd calculated from median and IQR (Wan et al 2014)",NA,-0.75225431170031,0.121572381551885,0.261155318118352,0.121572381551885,-0.490211154745146,0.490502646119904,-0.933471275735598,3.1926473220392,0.337292315162783,3.1926473220392,-0.789974106565466,0.58698872540399,-0.485772121320441,0.0416695509829413,0.420850026947644,0.0761662258290391,-0.555133249117943,0.407014546312566,-0.975983276065587,0.448833095136963,-0.0693611277975024,0.414336420290865,0.75225431170031,-0.261155318118352,0.490211154745146,0.485772121320441,-0.420850026947644,0.555133249117943,0.975983276065587,0.0693611277975024,0.933471275735598,-0.337292315162783,0.789974106565466
"6",15,"Cordier",2021,44,"Rat","Wistar",NA,"Male",3,"mixed sex for stress, single sex for EE","Adolescent","PND 21","Early postnatal",NA,"Adult",NA,"Combination","toys, wheel, climbing, novelty","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Barnes maze","number of errors","count","no",NA,2,"Fig. 2a",7,17.91,18.06,3.05,NA,15.77,19.89,7,14.94,15.09,4.4,NA,11.89,17.83,7,25.52,26.97,5.93,NA,20.8,28.8,7,12.54,11.89,14.18,"5.18",9.37,16.36,"CC = AFR/NE, EC = AFR/EE, CS = MS/NE, ES = MS/EE",3,NA,1,NA,NA,NA,NA,"mean and sd calculated from median and IQR (Wan et al 2014)",NA,-0.457691979192582,0.045068693990069,0.147212116937384,0.045068693990069,-0.529221886903866,0.206914109900356,-0.979986001692215,3.50416111515157,0.320108280176579,3.50416111515157,-1.23005139522747,0.588578081491298,-0.181317036367949,0.0165339505749218,0.354103242403969,0.0118564311560484,-0.356435680867846,0.186809642955978,-0.710538923271815,0.190380159325434,-0.175118644499897,0.195057678744307,0.457691979192582,-0.147212116937384,0.529221886903866,0.181317036367949,-0.354103242403969,0.356435680867846,0.710538923271815,0.175118644499897,0.979986001692215,-0.320108280176579,1.23005139522747
"7",16,"Dandi",2018,50,"Rat","Wistar",NA,"Mixed",2,"same gender pairs","Adolescent","PND23","Early postnatal",NA,"Adult",NA,"Combination","toys, wheel, tunnel, novelty","Exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Morris water maze","Entries to target quadrant","count","no",NA,1,"Fig. 5b",10,3.3,NA,1.45,"0.46",NA,NA,13,2.85,NA,1.35,"0.39",NA,NA,12,1.33,NA,1.18,"0.34",NA,NA,12,2.49,NA,1.28,"0.37",NA,NA,"CC = NMS + Sh, EC  = NMS + EE, CS = MS + Sh, ES = MS + EE",1,NA,1,NA,NA,NA,NA,NA,NA,0.142668784873961,0.0249249995550783,-0.476201659199943,0.0249249995550783,0.773707242434829,0.124183923786948,0.270372036817543,0.515366035868028,-0.887277247584331,0.515366035868028,1.22619430782041,0.34436741420988,-0.146603474191875,0.0365664519593001,-0.908743526238772,0.084903025028758,-0.281639757995818,0.0413278535941147,0.627103768242954,0.0876174718276477,-0.135036283803943,0.0392808987581898,0.142668784873961,-0.476201659199943,0.773707242434829,-0.146603474191875,-0.908743526238772,-0.281639757995818,0.627103768242954,-0.135036283803943,0.270372036817543,-0.887277247584331,1.22619430782041
"8",17,"do Prado",2016,51,"Rat","Sprague-Dawley",NA,"Male",5,"pair housed for EE, group housed for control","Adolescent","PND 21","Early postnatal",NA,"Adolescent","PND 36","Combination","toys, bedding","No exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","8 arm radial maze","number of errors","count","no","male",2,"Fig. 2b",9,1.48,NA,0.81,"0.27",NA,NA,9,1.72,NA,1.47,"0.49",NA,NA,9,3.28,NA,2.34,"0.78",NA,NA,9,1.63,NA,1.65,"0.55",NA,NA,"CC = Con + NE, EC = Con + EE, CS = MS + NE, ES = MS + EE",3,NA,3,NA,NA,NA,NA,NA,NA,-0.351287322406354,0.0784186789781498,0.428123132000748,0.0784186789781498,-0.849545610626719,0.284845978955297,-0.424839501470812,0.923309820155968,0.515230884762474,0.923309820155968,-1.13893142947494,0.446951230583472,0.150282203049338,0.114440326854269,0.795801334620029,0.0898327524270094,0.0965379270426472,0.147136084480447,-0.699263407577381,0.170405652101028,-0.0537442760066908,0.195013226528287,0.351287322406354,-0.428123132000748,0.849545610626719,-0.150282203049338,-0.795801334620029,-0.0965379270426472,0.699263407577381,0.0537442760066908,0.424839501470812,-0.515230884762474,1.13893142947494
"9",17,"do Prado",2016,52,"Rat","Sprague-Dawley",NA,"Female",5,"pair housed for EE, group housed for control","Adolescent","PND 21","Early postnatal",NA,"Adolescent","PND 36","Combination","toys, bedding","No exercise","Social","MS",NA,"Chronic",NA,"Stress first","Memory","Conditioning","Appetitive","8 arm radial maze","number of errors","count","no","female",2,"Fig. 2b",9,2.02,NA,1.65,"0.55",NA,NA,9,2.2,NA,1.71,"0.57",NA,NA,9,3.02,NA,1.35,"0.45",NA,NA,9,1.57,NA,0.96,"0.32",NA,NA,"CC = Con + NE, EC = Con + EE, CS = MS + NE, ES = MS + EE",3,NA,3,NA,NA,NA,NA,NA,NA,-0.290331080623358,0.0499448748582814,0.0840448960245331,0.0499448748582814,-0.739541060977718,0.205009228939098,-0.438434402155154,0.976122373580273,0.127732857320793,0.976122373580273,-1.1254300401778,0.447114232291571,0.0853598489511569,0.141262987909952,0.402159319973665,0.0963378622901899,-0.252021892052897,0.115678156211752,-0.654181212026562,0.0637462410291455,-0.337381741004054,0.108671366648908,0.290331080623358,-0.0840448960245331,0.739541060977718,-0.0853598489511569,-0.402159319973665,0.252021892052897,0.654181212026562,0.337381741004054,0.438434402155154,-0.127732857320793,1.1254300401778
"10",19,"Gaun",2021,56,"Rat","Wistar",NA,"Mixed",3,NA,"Adolescent","PND 21","Prenatal",NA,"Adolescent","PND 50","Combination","objects, wheel. Complexity","Exercise","Social","Combination","CUMS","Chronic",NA,"Stress first","Memory","Conditioning","Aversive","Morris water maze","Number of platform crossing","count","no",NA,1,"Fig. 5b",16,7.37,NA,1.91,NA,NA,NA,16,9.01,NA,2.17,NA,NA,NA,16,4.93,NA,2.18,NA,NA,NA,16,8.82,NA,2.36,NA,NA,NA,"CC = OPC, EC = OPC + EE, CS = OPS, ES = OPS + EE",3,NA,1,NA,NA,NA,NA,NA,NA,0.371283169496677,0.00549108754302137,-0.175022254312343,0.00549108754302137,0.3807655165451,0.0245185702809758,1.27952365795358,13.1599463301033,-0.608525717977924,13.1599463301033,1.04120369996223,0.262790474931742,0.200917365419001,0.00782305334674389,-0.402078718146647,0.0164184904162256,0.179604163817455,0.00867243384058914,0.581682881964101,0.0166955169342319,-0.0213132016015463,0.00810007986475019,0.371283169496677,-0.175022254312343,0.3807655165451,0.200917365419001,-0.402078718146647,0.179604163817455,0.581682881964101,-0.0213132016015463,1.27952365795358,-0.608525717977924,1.04120369996223
